shortcode,Ranking,,Economy,US dollars,
CPV,166,,Cape Verde,1827.00,
BTN,167,,Bhutan,1780.00,
LBR,168,,Liberia,1734.00,
BLZ,169,,Belize,1493.00,
TMP,170,,Timor-Leste,1293.00,
LCA,171,,St. Lucia,1239.00,
ATG,172,,Antigua and Barbuda,1134.00,
SYC,173,,Seychelles,1129.00,
SLB,174,,Solomon Islands,1008.00,
GMB,175,,"Gambia, The",917.00,
GNB,176,,Guinea-Bissau,822.00,
VUT,177,,Vanuatu,787.00,
GRD,178,,Grenada,767.00,
KNA,178,,St. Kitts and Nevis,767.00,
VCT,180,,St. Vincent and the Grenadines,713.00,
WSM,181,,Samoa,684.00,
COM,182,,Comoros,596.00,
DMA,183,,Dominica,480.00,
TON,184,,Tonga,472.00,
FSM,185,,"Micronesia, Fed. Sts.",326.00,
STP,186,,S�o Tom� and Principe,263.00,
PLW,187,,Palau,228.00,
MHL,188,,Marshall Islands,182.00,
KIR,189,,Kiribati,175.00,
TUV,190,,Tuvalu,40.00,
ASM,,,American Samoa,..,
ADO,,,Andorra,..,
CYM,,,Cayman Islands,..,
CHI,,,Channel Islands,..,
CUW,,,Cura�ao,..,
DJI,,,Djibouti,,
FRO,,,Faeroe Islands,..,
PYF,,,French Polynesia,..,
GRL,,,Greenland,..,
GUM,,,Guam,..,
IMY,,,Isle of Man,..,
PRK,,,"Korea, Dem. Rep.",..,
LBY,,,Libya,..,
LIE,,,Liechtenstein,..,
MMR,,,Myanmar,..,
NCL,,,New Caledonia,..,
MNP,,,Northern Mariana Islands,..,
SMR,,,San Marino,..,
SXM,,,Sint Maarten (Dutch part),..,
SOM,,,Somalia,..,
MAF,,,St. Martin (French part),..,
TCA,,,Turks and Caicos Islands,..,
VIR,,,Virgin Islands (U.S.),..,
WBG,,,West Bank and Gaza,..,
WLD,,,World,"72,440,449",
LIC,,,Low income,"504,431",
MIC,,,Middle income,"22,249,909",
LMC,,,  Lower middle income,"4,823,811",
UMC,,,  Upper middle income,"17,426,690",
LMY,,,Low & middle income,"22,769,282",
EAP,,,  East Asia & Pacific,"10,329,684",
ECA,,,  Europe & Central Asia,"1,887,950",
LAC,,,  Latin America & Caribbean,"5,344,028",
MNA,,,  Middle East & North Africa,"1,540,807",
SAS,,,  South Asia,"2,286,093",
SSA,,,  Sub-Saharan Africa,"1,289,813",
HIC,,,High income,"49,717,634",
EMU,,,  Euro area,"12,192,344",
